Timestamp,PID,COMMAND,MEM,PURG,CMPRS
1745253239.907812,91090,fragdemo,00:00.00,1,0
1745253242.0087402,91090,fragdemo,00:00.00,1,0
1745253244.07808,91090,fragdemo,00:00.00,1,0
1745253246.1932049,91090,fragdemo,00:00.01,1,0
1745253248.298305,91090,fragdemo,00:00.01,1,0
1745253250.41519,91090,fragdemo,00:00.01,1,0
1745253252.511074,91090,fragdemo,00:00.01,1,0
1745253254.55667,91090,fragdemo,00:00.01,1,0
1745253256.624583,91090,fragdemo,00:00.01,1,0
1745253258.70411,91090,fragdemo,00:00.01,1,0
1745253260.75657,91090,fragdemo,00:00.01,1,0
1745253262.804215,91090,fragdemo,00:00.02,1,0
1745253264.9299352,91090,fragdemo,00:00.02,1,0
1745253266.990608,91090,fragdemo,00:00.02,1,0
1745253269.042912,91090,fragdemo,00:00.02,1,0
1745253271.0960178,91090,fragdemo,00:00.02,1,0
1745253273.1566238,91090,fragdemo,00:00.02,1,0
1745253275.190738,91090,fragdemo,00:00.02,1,0
1745253277.238034,91090,fragdemo,00:00.02,1,0
1745253279.2691588,91090,fragdemo,00:00.03,1,0
1745253281.321076,91090,fragdemo,00:00.03,1,0
1745253283.44114,91090,fragdemo,00:00.03,1,0
1745253285.5075798,91090,fragdemo,00:00.03,1,0
1745253287.5486689,91090,fragdemo,00:00.03,1,0
1745253289.6004832,91090,fragdemo,00:00.03,1,0
1745253291.6567402,91090,fragdemo,00:00.03,1,0
1745253293.736877,91090,fragdemo,00:00.03,1,0
1745253295.779701,91090,fragdemo,00:00.04,1,0
1745253297.904629,91090,fragdemo,00:00.04,1,0
1745253299.980034,91090,fragdemo,00:00.04,1,0
1745253302.0456169,91090,fragdemo,00:00.04,1,0
1745253304.115105,91090,fragdemo,00:00.04,1,0
1745253306.227826,91090,fragdemo,00:00.04,1,0
1745253308.323647,91090,fragdemo,00:00.04,1,0
1745253310.3892832,91090,fragdemo,00:00.04,1,0
1745253312.4702091,91090,fragdemo,00:00.05,1,0
1745253314.5464818,91090,fragdemo,00:00.05,1,0
1745253316.615071,91090,fragdemo,00:00.05,1,0
1745253318.693547,91090,fragdemo,00:00.05,1,0
1745253320.7627132,91090,fragdemo,00:00.05,1,0
1745253322.815423,91090,fragdemo,00:00.05,1,0
1745253324.977328,91090,fragdemo,00:00.05,1,0
1745253327.1272829,91090,fragdemo,00:00.05,1,0
1745253329.1995788,91090,fragdemo,00:00.06,1,0
1745253331.311697,91090,fragdemo,00:00.06,1,0
1745253333.364244,91090,fragdemo,00:00.06,1,0
1745253335.430367,91090,fragdemo,00:00.06,1,0
1745253337.528952,91090,fragdemo,00:00.06,1,0
1745253339.590438,91090,fragdemo,00:00.06,1,0
1745253341.648129,91090,fragdemo,00:00.06,1,0
1745253343.786228,91090,fragdemo,00:00.06,1,0
1745253345.919428,91090,fragdemo,00:00.07,1,0
1745253348.051253,91090,fragdemo,00:00.07,1,0
1745253350.131247,91090,fragdemo,00:00.07,1,0
1745253352.220433,91090,fragdemo,00:00.07,1,0
1745253354.3213902,91090,fragdemo,00:00.07,1,0
1745253356.368845,91090,fragdemo,00:00.07,1,0
